TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0
agtFile; run; maxDepth; cubeSz; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.99; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.815; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.44499999999999995; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.24; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.08499999999999996; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 2; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.975; 6.0; 50.0
